text,label,stars
" Chatting
 sama cs tapi gaada notifikasi di hp pas Chat masuk. Pengirimannya lama.
 Csnya ga solutif. Jelek juga karena ga bisa chat penjual secara 
langsung. Ribet harus lewat cs",neg,1
 let's go shopping,pos,5
 Nice,pos,5
 Promo bohong,neg,1
 Great,pos,5
 Easy to use. Good and Guarantee stuffs.,pos,5
 Lumayan ada aja vouchernya,pos,5
 Keep the good work,pos,5
 ok,pos,5
" gratis
 ongkirnya tidak berlaku semua item. beli banyak makin mahal ongkirnya. 
contoh 1 pc ongkir 12.000 beli 3 pcs jadi lebih mahal karena hitung 
berat dan dimensi. kemudian fitur blibli cash tidak bisa gabung dengan 
metode pembayaran lainnya jika saldo kurang banyak untuk membayar 
pesanan. fitur in...Full Reviewgratis
 ongkirnya tidak berlaku semua item. beli banyak makin mahal ongkirnya. 
contoh 1 pc ongkir 12.000 beli 3 pcs jadi lebih mahal karena hitung 
berat dan dimensi. kemudian fitur blibli cash tidak bisa gabung dengan 
metode pembayaran lainnya jika saldo kurang banyak untuk membayar 
pesanan. fitur ini penting, lho.",neg,4
 sering force close. terus ketika uda di update malah ga bs dibuka. ga bs belanja dgn nyaman pdhl langganan 😅,neg,2
 Ok,pos,5
 good,pos,5
 Getting better. A little annoy to click buy,pos,5
 good apps,pos,5
 mantaffffs,pos,5
" pengiriman sangat cepat ,barang sesuai dan bagus...trims😇",pos,5
 banyak promo menarik,pos,5
" Suka dgn blibli,mantap",pos,5
" Barang2nya bagus, penggunaan aplikasi mudah, pembelian tiket kereta api lebih banyak jurusan. Ok punya..",pos,5
 e-commerce terbaik sepanjang masa. Biarpun banyak saingan Blibli tetap yang terbaik.,pos,5
 good service,pos,5
" Tidak
 ada fitur chatting ke seller jd tdk bs tanya stok barang, proses 
pengiriman lama, 2x order nunggu sampe 4 hari baru diinfo stok kosong , 
hadeuhh",neg,1
 Good,pos,5
" Easy to use, and the most important thing is free delivery!",pos,5
" Bagus aplikasinya.. Cuma agak susah untuk mengikuti promonya, belum terbiasa aja mungkin.. Customer Care Blibli mantap sangat",pos,5
 ok,pos,5
 Nyaman dan mudah.,pos,5
" udah
 harganya murah, selalu gratis ongkir, selalu ada plus kode vouchernya 
lagi. Blipay aku jadi awet nih.. seneng deh beli Wardah di Blibli 🤩",pos,5
 Thank's,pos,5
Termurah Siap2 menjadi toko favorit,pos,5
 Awesome app,pos,5
 Good ecommerce,pos,5
 nice apps.really helpfull when needed,pos,5
" gokil nih aplikasi asik banget, belanja terus tanpa halangan",pos,5
" Nice application, easy to used",pos,5
 best OL shopping,pos,5
 Good application,pos,5
 Good,pos,5
 Thank u...,neg,4
 Belanja jadi gampang dan praktis...apalagi ada gratis ongkir .thanks bli2,pos,5
" I love this app..good price,free shipping, more discount..very good..",pos,5
 good ecommerce,pos,5
" belanja
 di blibli cepat ori dan diskon..tapi sedih nih baru aja kelupaan pakai 
poin hangus lumayan banget...harus ad reminder nya klo punya 
poin...huhu..tp so far lancar aja belanja di blibli..makasih blibli",pos,5
" Diskon nya kurang mantap sikh, tapi kalo butuh barang yg kudu nyicil, tujuan utama pasti di blibli..",pos,5
" Good Apps, Good Response and GUI",pos,5
" kecewa bgt pertama kali beli tiket pesawat pake blibli, pembayaran uda 
sukses tapi e ticket ga terbit, ujungnya direfund makan waktu 1-3hr 
alasannya lion air yg ga bisa nerbitin, pdhl di app sblh lancar2 aja ga da 
kendala, ga babibu lngsung uninstall deh, payah bgt",neg,1
 Very good,pos,5
" Good product, great price",pos,5
 Good apps. Good merchant,pos,5
 Best shopping,pos,5
" ya,pertama
 coba blanja sih,sering ngestuck gt,y bs jd karena appsnya blm sempurna 
atw kendala dr jaringan gt,tp sy puas biarpun lamanya pngiriman dr 
expedisi yg pnting brgnya sampe dgn selamat",pos,5
 Brengsek ngiklaninnya disitus scam,neg,1
 Transaksi mudah dan bebas ongkir,pos,5
 Good,pos,5
" Pelayanannya
 baik, penjelasan yg diksh jg mudah dimengerti (': tp aku mau tanya gmn 
cara beli kalo mau dicicil ya(?)umhh itu bnrn bunganya 0%??? Mohon 
jawabannya♡",pos,5
 #1 Online Shopping,pos,5
 Good,pos,5
Simple UI Free  ongkir dan bnyak produk yg valuable for money dg program promo tiap hari,pos,5
 sering byk diskonan mantap,pos,5
 Good,neg,3
 More vouchers please..,pos,5
 Good,pos,5
"Bagus Appnya Lumayan
 okay. Belanja jadi lebih cepat... Tapi kenapa ngak ada ekspress 
checkout kayak aliexpress. Jadi ngk usah tiap kali masukin nomor kartu 
kredit. Cukup langsung ke halaman OTP. Ditunggu improvementnya.",pos,5
 Easy shopping and good costumer services.,pos,5
 good app,pos,5
" Attentive
 and great app but lack of good UX especially when u want to click the 
promo directly fr Mobile Apps but u can't diff compare to PC",pos,5
" Application, service, packing, products have a great point",pos,5
 Bagus,neg,4
" mantab belanja di bliblimart .. ga pake ongkir, hr ini pesan bsk dah sampai...banyak diskon juga...",pos,5
Ok Best for djarum group,pos,5
 nice apps.. sering banget gw beli di sini,pos,5
Parnibasirun Look good,pos,5
 I love this app,pos,5
 Fast respon,pos,5
 CS payah dan tidak membantu. Perlu technical support malah mengira2.,neg,1
 Very great apps with many promotions!!! And this original apps from Indonesia....!!!!!,pos,5
 Love it...and good application.,neg,4
 Pesan langsung Terima  Hari itu juga,pos,5
 Penjual parfum palsu,neg,1
Selalu update Aplikasi nya selalu di update jadi nya bikin lemot tau,neg,1
 Only downloaded for prizeee,neg,1
 Easy to use and reliable,pos,5
 Tidak memuaskan terlalu banyak loading,neg,1
 Gud payment system,pos,5
 Easy apps to use,pos,5
 pengalaman teman belanja di Blibli di PHP sama seller dengan resi kosong,neg,1
 Good Application,pos,5
 Lovely,pos,5
 Good job,pos,5
 Good app.. loved it,pos,5
 Pelayanan yang sangat baik,pos,5
 Simple aplication,pos,5
 Awesome,pos,5
 Mantap dan mudah digunakan,pos,5
 Produk gitar ukulele yamaha GL 1 bagus dan tepat waktu pengirimannya,pos,5
 Test dulu,neg,3
 Great app,pos,5
 good,pos,5
 bravo,pos,5
 I love free ongkir,pos,5
Nice App Recomended dan Trustable...,pos,5
 Awesome application,pos,5
 Senang bisa belanja di Blibli.. Bisa dpt free Ongkir...,pos,5
 Good onlineshop app,pos,5
 Awesomee,pos,5
 mantap.sering promo lagi,pos,5
 Better,neg,4
" Lumayan, suka ada promo voucher dr vendor lain",pos,5
 Good..good..good..,pos,5
 ok,pos,5
 great application,pos,5
" UI
 baru nya saya beri bintang 2 dan rewards poin karena ada masa 
berlakunya saya beri 1 bintang, kecuali ga ada masa berlaku saya kasih 5
 bintang.. 🤣 🤣   kalo ngasih reward itu yang ikhlas, masa poin aja 
bisa hangus..😠😡",neg,3
 Packingnya terbaik dan beli barang original lebih nyaman di sini,pos,5
 Awesome,pos,5
 Transaksi berjalan sempurna dan cepat 😀,pos,5
" Product
 sudah di whislist dari berapa bulan lalu, pas tersedia tdk di notif 
tau2 sudah habis.. setelah berapa jam habis baru di notif.. penjelasan 
cs juga nggak jelas..",neg,1
" Review barang yg dijual antar toko kadang jadi 1 kadang engga. Jadi gatau 
review yg itu ditujukan buat toko yg mana. Kadang tulisan di halaman produk 
ada n review, waktu diklik ternyata belum ada review sama sekali buat 
produk itu. Promo ketupat lebaran ini UX nya jelek banget. Mau ngecek punya 
...Full ReviewReview barang yg dijual antar toko kadang jadi 1 kadang engga. Jadi gatau 
review yg itu ditujukan buat toko yg mana. Kadang tulisan di halaman produk 
ada n review, waktu diklik ternyata belum ada review sama sekali buat 
produk itu. Promo ketupat lebaran ini UX nya jelek banget. Mau ngecek punya 
berapa ketupat aja harus login ulang (dan loginnya bukan login blibli, tapi 
login lain pake pin yg harus didapetin dengan klik link dulu!) Ribet deh 
pokoknya, kenapa ketupatnya ga dipasang di reward / voucher aja?",neg,2
 I like it,neg,4
 One of the best apps for online shopping,pos,5
 Juaranya online shop,neg,4
" awalnya
 ngga pernah mampir karena harganya kemahalan. tapi makin kesini makin 
kompetitif. diskon dan barang nya banyak yg toko lain ga punya",pos,5
" Pembayaran listrik saya gagal, dan akan di refund tapi sudah kurang lebih 
seminggu belum masuk dana nya.. Kecewa saya",neg,1
 Very fast delivery,pos,5
 cool,pos,5
 Oke,pos,5
 Good online shopping app,pos,5
" Maaf,
 data ditemukan.  Info itu selama seminggu selalu muncul sebelum saya 
belanja dan menghambat saya untuk belanja. Tolong untuk ditindak 
lanjuti.",pos,5
 good,pos,5
 Very good,pos,5
 awesome,pos,5
 Yeay! Versi baru wajah baru!,neg,4
" Promo
 dan harga bersaing. Tapi pengiriman sangat parah. Tidak ada 
pemberitahuan sebelumnya langsung kirim dgn kurir tak ramah. Kulkas 
dikirim posisi tidur. Udah tau haram kirim kulkas demikian.",pos,5
 Simple,neg,4
 Good Aplication,pos,5
 cukup mudah di gunakan. hanya saja...icon/logo blibli kurang menarik...,neg,4
 Too good,pos,5
 Very good,pos,5
 Bagus dan sangat memudahkan,neg,4
 Mantab,pos,5
 Nice App and user friendly,neg,4
 bagus...,neg,4
 good aplikasi,pos,5
 Mantaaap,pos,5
" Blibli marketplace terkeren, banyak promo yang wah banget dengan pelayanan yang sangat memuaskan. Pertahanin ya ^_^",pos,5
 Easy to use n safe payment..🖒🖒🖒,pos,5
" Terpercaya, cepat dan handal",pos,5
 okkkkkk,neg,4
" Barang yang kita inginkan tidak ada dalam pencarian dan harga nya juga 
terlalu mahal",neg,1
 Smart,pos,5
 Great,pos,5
 Better..,neg,4
 Ok,pos,5
" Aplikasi
 ga bisa dibuka. Tulisannya suruh perbaharui versi, kemudian hanya ada 2
 pilihan perbaharui / keluar. Padahal aplikasi sudah yg paling up to 
date",neg,1
 ok,neg,3
 nice apps...give new experience to shop thank you,pos,5
 nice apps...very helpfull,pos,5
 Good app,neg,4
 Idk,neg,4
 Ga pernah nyesel beli disini. Original pastinya,pos,5
 Like,pos,5
 mantapp,pos,5
 mantappp,pos,5
 fast respon & good product,pos,5
 Nice,pos,5
 Good apps,pos,5
 Good,pos,5
 Pilihan barang tidak sebanyak toko online line lain. Aplikasi mudah digunakan & transaksi pembayaran mudah,neg,4
" annoying vibrate,like what the hell full vibrate when push button",neg,3
lola! aneh.. no koneksi terus notifnya?? pls fix it,neg,4
" Order
 pancing, Free- ReadyStock ,On Proses, Di tunggu-tunggu, Gak ada angin 
gak ada Hujan, Tiba-tiba di batalkan oleh BLI2, Tanpa keterangan apapun!
 pantes Gak Laku nih Marketplace- QC Proses dong Ahk,",neg,1
 Lebih professional,pos,5
" belanja mudah, sayang free ongkir skrg bersyarat..",neg,4
 Banyak barang diskon murah. Keep the good work BliBLI.,pos,5
 good,pos,5
 The best ecommerce site in Indonesia!,pos,5
 topppp,pos,5
" Tim
 QCnya amatir kaya anak PKL, deskripsi direvisi malah jadi aneh, tata 
bahasanya gak nyambung apalagi bicara konten marketing yg menjual, jauh 
banget. Urusan judul dan deskripsi gw kira penjual lebih tau tinggal 
kasih aja ketentuannya bagaimana, iya kalau direvisi jd lebih cakep lha 
ini jadi ambur...Full ReviewTim
 QCnya amatir kaya anak PKL, deskripsi direvisi malah jadi aneh, tata 
bahasanya gak nyambung apalagi bicara konten marketing yg menjual, jauh 
banget. Urusan judul dan deskripsi gw kira penjual lebih tau tinggal 
kasih aja ketentuannya bagaimana, iya kalau direvisi jd lebih cakep lha 
ini jadi amburadul. Gak perlu terlalu formal dan kaku, marketplace itu 
pasar terbuka utk semua kalangan target pasar tertentu memang ada tapi 
gak usah kaya mau jualan cilor ke para Dubes PBB.",neg,1
 mudah dan menyenangkan,neg,4
" Mau pesan tiket kok gagal terus balik ke halaman pencari tiket, dan 
ternyata pesanan yg gagal masuk di halaman pesanan saya tanpa ada 
pemberitahuan sama sekali.",neg,1
 Great app..,pos,5
 Always satisfied using Blibli ! Never disappoint 👍🏻,pos,5
 Good application.. good service.. good price.. 😁,pos,5
 Good,pos,5
 Wokeh,neg,4
 Bagus,pos,5
 okeeeeeeer,pos,5
 oke,neg,4
 Proses bayar & penggunaan voucher sering error,neg,2
 Nice market place.. trusted..,pos,5
 Aplikasi sangat responsif dan pembayaran sangat cepat,pos,5
 Blibli msh terbaik.. returnya paling mudah garansi panjang sd 15hr ga ada yg bs ngalahin dah.. mohon dipertahankan,pos,5
 Cool,pos,5
 Okelah,pos,5
 Cakep👍,pos,5
 Good marketplace lots of discount,pos,5
" Tolong update apps nya, history belanja ga muncul",neg,1
 Nice,pos,5
 Good,pos,5
" sebaiknya
 aplikasi ini memberi pilihan utk menentukan lokasi GPS secara manual 
karena bila mengandalkan lokasi yg diberikan perangkat GPS seringkali 
tidak tepat, walaupun sudah ditunggu lama seringkali GPS tidak 
memberikan titik lokasi yg tepat.",neg,3
" love this, gratis ongkir cyin!",pos,5
 good,pos,5
 ok,neg,4
" Kok app terbaru malah tdk mau check out pesanan, jadi tambah lemot juga",neg,3
 Bagus bangetttttttnjay,pos,5
 i think ita not compatible with my xiaomi note 5 pro. i cant do payment .,neg,2
 always easy to shopping on blibli,pos,5
 Lots of promo... easy to use,pos,5
 Terima kasih,pos,5
MAntap Lanjutkan,pos,5
good shopping online berkualitas & terjamin,pos,5
 Good feature,pos,5
" di
 bagian detail pemesanan kurang lengkap, beda sama versi website, 
seperti jasa pengiriman dan no resi tidak tercantum di aplikasi tapi ada
 di website dan gak ada tombol terima barang di aplikasi",neg,3
 Ga tauu,neg,4
 good,pos,5
 Best👍,pos,5
 kereen selalu puas belanja di blibli,pos,5
 Bintang 2 dulu.. karena sering error login saat akan mulai flashsale.. saya tunggu perbaikan di update selanjutnya..,neg,2
 Bagus... Banyak promo... Lebih bnykin promonya...,neg,4
 bgus bgus😉🌛,pos,5
" Belanja
 mudah di genggaman tangan. Aplikasinya ringan, fitur-fiturnya banyak 
dan sangat membantu orang yg akan belanja. Kalau boleh kasih saran, 
tampilkan promo lebih banyak lagi. Terutama promo fashion. Terima kasih,
 sukses selalu blibli.",pos,5
 Nice,pos,5
 great apps to do online shopping.. byk promonya,pos,5
 murah tapi tidak murahan,pos,5
 ok,pos,5
 Free ongkir,pos,5
 Very Helpfull,pos,5
 Aplikasi gak bisa dibuka karena jaringan bermasalah. Padahal jaringan normal.,neg,1
 Best application,pos,5
 Mantappp blibli maju terusss,pos,5
 Great app,pos,5
 Tidak bisa instal Error Code 505,neg,1
" Lumayan lah untuk pemain lama olshop, Masih bertahan! Tapi harga retailnya Masih tergolong cukup Mahal, sesuai kualitas lah!",pos,5
 Mantappppppp👍👍👍👍,pos,5
 Easy shooping,pos,5
 Oke.. Blanja di blibli tanpa ribet pakai bcaklickpay,pos,5
 Keep up good work,pos,5
 Sangat menarik dan interface sangat bagus,pos,5
 i like this apps buy and seacrh so easy😊🤗,pos,5
 Good,neg,4
 the True yang penting Ori.. tapi masih banyak BM.. barang ori pas diservice di reject karena gak beli di counter..,pos,5
